입찰마감일,물건번호,입찰제목,낙찰 순번,응찰회사명,응찰회사사업자번호,대표자명,입찰금액,낙찰여부,낙찰회사주소,낙찰방식
2025-09-01,20250826163654979,"[경남] 예초, 제초작업 업체선정공고",1,(주)덕유조경,4128132591,이재우,7970000,N,,
2025-09-01,20250826163654979,"[경남] 예초, 제초작업 업체선정공고",2,(주)송정조경,6098169237,이진식,15000000,N,,
2025-09-01,20250826163654979,"[경남] 예초, 제초작업 업체선정공고",3,(주)엔에스포레,5018601355,김경동,21596000,N,,
2025-09-01,20250826163654979,"[경남] 예초, 제초작업 업체선정공고",4,(주)태성종합관리,7178801838,김종희,7300000,Y,"창원시 의창구 동읍 주남로21 , 1층",
2025-09-01,20250826163204429,[경기] 옥상 복합방수 공사업체 선정 긴급 공고,1,세일산업개발(주),1058620270,윤동욱,19600000,N,,
2025-09-01,20250826163204429,[경기] 옥상 복합방수 공사업체 선정 긴급 공고,2,신화건설(주),1338134207,이용석,20000000,N,,
2025-09-01,20250826163204429,[경기] 옥상 복합방수 공사업체 선정 긴급 공고,3,주식회사 미르건설,2158149185,김영균,15800000,Y,"서울특별시 은평구 진관3로32, 제1층 102호",
2025-09-01,20250826163204429,[경기] 옥상 복합방수 공사업체 선정 긴급 공고,4,주식회사 에이피티건설,3018610098,문지현,18000000,N,,
2025-09-01,20250826163204429,[경기] 옥상 복합방수 공사업체 선정 긴급 공고,5,주식회사더세움,1628702326,홍정욱,18000000,N,,
2025-09-01,20250826162910747,[인천] 주택관리업자 선정 긴급 입찰 공고,1,(주)대한주택개발,1248635624,고병진,32887980,95.4,,
2025-09-01,20250826162910747,[인천] 주택관리업자 선정 긴급 입찰 공고,2,(주)쌍용개발,1348129430,차기순,32887980,98.2,,
2025-09-01,20250826162910747,[인천] 주택관리업자 선정 긴급 입찰 공고,3,에이제이대원 주식회사,1178106882,서일섭,32887980,95.2,,
2025-09-01,20250826162910747,[인천] 주택관리업자 선정 긴급 입찰 공고,4,신한영관리(주),2198117685,최영임,32887980,93.6,,
2025-09-01,20250825170216675,[충남] 승강기 메인로프 교체공사업체선정 긴급입찰공고,1,신영엘리베이터,3128630662,김진세,27000000,N,,
2025-09-01,20250825170216675,[충남] 승강기 메인로프 교체공사업체선정 긴급입찰공고,2,오티스엘리베이터(유) 충북,8858500752,조익서,23000000,Y,충북 청주시 서원구 수곡로5번길 17,
2025-09-01,20250825170216675,[충남] 승강기 메인로프 교체공사업체선정 긴급입찰공고,3,티케이엘리베이터코리아(주),2908500920,서득현,28325000,N,,
2025-09-01,20250826105704888,[경남]세대소독(방역) 용역업체 선정 입찰공고,1,주식회사 블루샘,4298800742,유승태,1656000,N,,
2025-09-01,20250826105704888,[경남]세대소독(방역) 용역업체 선정 입찰공고,2,현 크린,5439001899,성해경,1500000,Y,부산광역시 사하구 다대로134번길 133 3층,
2025-09-01,kg2b_125451,[세종] 승강기 에어컨 설치 공사업체 선정 재입찰 공고,5,티케이엘리베이터코리아(주),서득현,02-2610-7768,Y,,,
2025-09-01,kg2b_125431,[경기] 하자진단업체 및 법률대리인 선정,4,로펌 좋은합동,김남식,02-3476-7800,Y,,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,1,(주)뉴맨테크,1298157685,최동준,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,2,(주)대기산업,4098135175,문경희,14471016,Y,광주광역시 북구 우치로 3(중흥동),
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,3,(주)덕우,1278163880,박준우,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,4,(주)세종종합관리,4088154882,임만덕,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,5,(주)케이비개발,4108705616,김현,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,6,(주)태룡에스디,1288118490,김주형,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,7,서림주택관리(주),1088138338,김호종,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,8,주식회사 한영파트너스에프에이치,1388102132,김현진,14471016,N,,
2025-09-01,20250825153053361,[광주] 주택관리업자선정공고,9,현대아미스(주),4088148658,김우열,14471016,N,,
2025-09-01,20250825145723297,[부산] 시설물 정밀안전진단 용역입찰공고,1,(주)리더스씨앤엠,5148176764,김진하,12900000,N,,
2025-09-01,20250825145723297,[부산] 시설물 정밀안전진단 용역입찰공고,2,(주)부경구조이엔지,1678701259,박주현,11500000,N,,
2025-09-01,20250825145723297,[부산] 시설물 정밀안전진단 용역입찰공고,3,(주)이진이엔지,6158177315,"이민호, 송미현",9600000,Y,경남 김해시 월산로 111-73 아모르빌딩 402호,
2025-09-01,20250825145723297,[부산] 시설물 정밀안전진단 용역입찰공고,4,엘림주식회사,7178600698,김남재,13500000,N,,
2025-09-01,20250825093409069,[경남] 승강기 브레이크ASY 교체업체 긴급 선정,1,(주)원엘리베이터코리아,6178625818,박수민,14836800,N,,
2025-09-01,20250825093409069,[경남] 승강기 브레이크ASY 교체업체 긴급 선정,2,오티스서비스엑스퍼트(유),8358701968,장두호,13488000,Y,"서울특별시 강동구 성내로6길 11, 2층 (성내동,삼원타워)",
2025-09-01,20250822160309033,[전북] 헌옷 수거업체 선정 공고,1,(유)비사벌환경개발,4028171068,이중관,6781200,N,,
2025-09-01,20250822160309033,[전북] 헌옷 수거업체 선정 공고,2,나이스무역주식회사,4938600109,고명철,7498560,Y,충남 논산시 연산면 선비로 672-11,
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,1,(주)영흥방재산업,1298184770,이윤자,5230000,N,,
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,2,명주소방솔루션(주),2868803628,방상수,2960000,Y,"강원특별자치도 강릉시 주문진읍 주문로67, 2층",
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,3,정석소방,3903700855,장정석,4150000,N,,
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,4,주식회사 이에이치소방,6938803073,박태희,6580000,N,,
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,5,주식회사제이에스방재,5248700583,김주,7000000,N,,
2025-09-01,20250821191330186,[충남] 소방시설 자체점검용역 업체선정,6,한국소방관리 주식회사,2128616638,이승원,5300000,N,,
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,1,(주)갤럭시코리아,1428100657,김길복,759528000,N,,
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,2,(주)신광환경,1238181421,박기욱,788580000,N,,
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,3,(주)이오티앤디,6058136108,서광희,744264000,N,,
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,4,(주)인성종합관리,1318604420,신규현,756180000,N,,
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,5,엘림에스 유한책임회사,1228628618,이윤필,731964000,Y,"서울특별시 영등포구 선유서로25길 28, 1310호",
2025-09-01,20250821181657895,[경기] 청소 용역업체 선정 입찰공고,6,주)청원환경,1318605230,박명순,747576000,N,,
